source,year,store,item,price_usd_low,price_usd_high,unit,brand_low,brand_high,note,quality_flag
bd_article_2021,2021,City Fresh Market,Half Gallon Milk,4.49,9.99,gallon (as printed),2% Derle Hygrade,Maple Hill Creamery Organic,article lists a gallon price under half-gallon heading,unit_mismatch
bd_article_2021,2021,City Fresh Market,12 Eggs,1.89,10.99,dozen,Mitlitsky,Happy Egg,,
bd_article_2021,2021,City Fresh Market,Banana,0.69,,per lb,,,,
bd_article_2021,2021,City Fresh Market,Peanut Butter,3.79,,jar,Jif,,,
bd_article_2021,2021,City Fresh Market,Cheddar Cheese,4.99,,pack,Kraft,,,
bd_article_2021,2021,City Fresh Market,Spinach,2.99,,bunch,bunch,,,
bd_article_2021,2021,City Fresh Market,Chicken Breast,4.12,,per lb,,,,
bd_article_2021,2021,City Fresh Market,Coffee,5.99,12.49,pack,Folgers,local roast,,
bd_article_2021,2021,Hana Natural,Half Gallon Milk,4.59,,half gallon,Organic Valley,,,
bd_article_2021,2021,Hana Natural,12 Eggs,4.29,10.0,dozen,,,,
bd_article_2021,2021,Hana Natural,Banana,1.29,,per lb,,,,
bd_article_2021,2021,Hana Natural,Peanut Butter,7.49,,jar,Woodstock Organic Farms,,,
bd_article_2021,2021,Hana Natural,Cheddar Cheese,4.66,,pack,store brand,,,
bd_article_2021,2021,Hana Natural,Spinach,3.29,,bunch,bunch,,,
bd_article_2021,2021,Hana Natural,Coffee,7.99,,pack,,,'$7.99 and up'; no chicken listed,open_ended
bd_article_2021,2021,Met Fresh,Half Gallon Milk,4.59,,gallon (as printed),Tuscan Dairy Farms,,article lists a gallon price under half-gallon heading,unit_mismatch
bd_article_2021,2021,Met Fresh,12 Eggs,1.69,,dozen,,,,
bd_article_2021,2021,Met Fresh,Banana,0.79,,per lb,,,,
bd_article_2021,2021,Met Fresh,Peanut Butter,2.49,,jar,Avenue A,,,
bd_article_2021,2021,Met Fresh,Cheddar Cheese,2.99,,pack,Tropical,,,
bd_article_2021,2021,Met Fresh,Chicken Breast,3.54,,per lb,,,,
bd_article_2021,2021,Met Fresh,Kale,1.29,,bunch,bunch,,kale instead of spinach,
bd_article_2021,2021,Met Fresh,Coffee,5.29,7.99,pack,Folgers,local roasts,'$7.99 and up',open_ended
bd_article_2021,2021,Billy's Marketplace (C Town),Half Gallon Milk,4.19,,half gallon,Tuscan Dairy Farms,,,
bd_article_2021,2021,Billy's Marketplace (C Town),12 Eggs,1.39,,dozen,,,,
bd_article_2021,2021,Billy's Marketplace (C Town),Banana,1.39,,per lb,,,,
bd_article_2021,2021,Billy's Marketplace (C Town),Peanut Butter,3.19,,jar,Skippy,,,
bd_article_2021,2021,Billy's Marketplace (C Town),Cheddar Cheese,2.49,,pack,Krasdale,,,
bd_article_2021,2021,Billy's Marketplace (C Town),Chicken,2.69,,per lb,Perdue,,,
bd_article_2021,2021,Billy's Marketplace (C Town),Spinach,3.69,,bunch,bunch,,,
bd_article_2021,2021,Billy's Marketplace (C Town),Coffee,3.69,8.39,pack,Folgers,local roasts,'$8.39 and up',open_ended
bd_article_2021,2021,Associated Supermarkets,Half Gallon Milk,4.19,,gallon (as printed),Cream-O-Land,,article lists a gallon price under half-gallon heading,unit_mismatch
bd_article_2021,2021,Associated Supermarkets,12 Eggs,2.0,,dozen,,,,
bd_article_2021,2021,Associated Supermarkets,Banana,1.09,,per lb,,,,
bd_article_2021,2021,Associated Supermarkets,Chicken (legs),0.89,,per lb,,,,
bd_article_2021,2021,Associated Supermarkets,Spinach,3.0,,bunch,bunch,,,
bd_article_2021,2021,Associated Supermarkets,Peanut Butter,3.19,,jar,Skippy,,verbatim duplicate of Billy's line in source article,dup_from_billys
bd_article_2021,2021,Associated Supermarkets,Cheddar Cheese,2.49,,pack,Krasdale,,verbatim duplicate of Billy's line in source article,dup_from_billys
bd_article_2021,2021,Associated Supermarkets,Chicken,2.69,,per lb,Perdue,,verbatim duplicate of Billy's line in source article,dup_from_billys
bd_article_2021,2021,Associated Supermarkets,Spinach,3.69,,bunch,bunch,,verbatim duplicate of Billy's line in source article; conflicts with $3.00 bunch above,dup_from_billys
bd_article_2021,2021,Associated Supermarkets,Coffee,3.69,8.39,pack,Folgers,local roasts,verbatim duplicate of Billy's line in source article,dup_from_billys
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Bananas (per lb),0.0,,per lb,N/A,,lowest-price option per Tableau viz,not_carried_or_unpriced
tableau_grocerygraph_2021,2021,Key Food,Bananas (per lb),0.49,,per lb,(organic),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Shop Fair,Bananas (per lb),0.59,,per lb,(organic),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Bananas (per lb),0.69,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Bananas (per lb),0.79,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Bananas (per lb),0.79,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Bananas (per lb),0.99,,per lb,(organic),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Bananas (per lb),1.09,,per lb,(unknown),,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Hana Natural,Bananas (per lb),1.29,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Bananas (per lb),1.39,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Shop Fair,Cheddar Cheese,1.99,,pack,Farms Creamery,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Cheddar Cheese,2.49,,pack,Krasdale,,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Cheddar Cheese,2.49,,pack,Krasdale,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Key Food,Cheddar Cheese,2.49,,pack,Urban Meadow,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Cheddar Cheese,2.9,,pack,Tropical,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Cheddar Cheese,2.99,,pack,Kraft,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Cheddar Cheese,2.99,,pack,Borden,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Cheddar Cheese,3.49,,pack,Borden,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Cheddar Cheese,4.66,,pack,Store Brand,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Cheddar Cheese,4.67,,pack,New York Cheddar,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Chicken Breast (per lb),0.0,,per lb,N/A,,lowest-price option per Tableau viz,not_carried_or_unpriced
tableau_grocerygraph_2021,2021,Shop Fair,Chicken Breast (per lb),0.0,,per lb,N/A,,lowest-price option per Tableau viz,not_carried_or_unpriced
tableau_grocerygraph_2021,2021,Key Food,Chicken Breast (per lb),1.05,,per lb,Urban Meadow,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Chicken Breast (per lb),2.69,,per lb,Perdue,,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Chicken Breast (per lb),2.69,,per lb,Perdue,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Chicken Breast (per lb),3.54,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Chicken Breast (per lb),4.12,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Chicken Breast (per lb),6.0,,per lb,Store Brand,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Chicken Breast (per lb),13.99,,per lb,Bell and Evans,,lowest-price option per Tableau viz,
